CUI1,AUI1,STYPE1,REL,CUI2,AUI2,STYPE2,RELA,RUI,SRUI,SAB,SL,RG,DIR,SUPPRESS,CVF
C0011849,NULL,CUI,RO,C0162574,NULL,CUI,NULL,R91966207,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0011875,NULL,CUI,NULL,R91966209,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0011882,NULL,CUI,NULL,R91966211,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0011878,NULL,CUI,NULL,R91966213,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0021641,NULL,CUI,NULL,R91966223,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0011848,NULL,CUI,NULL,R91966227,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0017628,NULL,CUI,NULL,R91966229,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RB,C0014130,NULL,CUI,NULL,R91966235,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0021655,NULL,CUI,NULL,R91966239,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0011880,NULL,CUI,NULL,R91966241,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0085207,NULL,CUI,NULL,R91966247,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RB,C0149670,NULL,CUI,NULL,R91966253,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RB,C0271633,NULL,CUI,NULL,R91966257,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0152020,NULL,CUI,NULL,R91966259,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0342245,NULL,CUI,NULL,R91966263,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0011854,NULL,CUI,NULL,R91966269,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RB,C0028715,NULL,CUI,NULL,R91966271,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0036413,NULL,CUI,NULL,R91966273,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0271646,NULL,CUI,NULL,R91966278,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0235397,NULL,CUI,NULL,R91966280,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0235398,NULL,CUI,NULL,R91966282,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0235399,NULL,CUI,NULL,R91966284,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0241861,NULL,CUI,NULL,R91966286,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0241863,NULL,CUI,NULL,R91966288,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0150544,NULL,CUI,NULL,R91966290,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0267176,NULL,CUI,NULL,R91966294,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0595877,NULL,CUI,NULL,R91966298,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0011860,NULL,CUI,NULL,R91966300,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0202041,NULL,CUI,NULL,R91966304,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0240016,NULL,CUI,NULL,R91966308,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0342269,NULL,CUI,NULL,R91966312,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0262448,NULL,CUI,NULL,R91966314,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0271635,NULL,CUI,NULL,R91966320,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0154183,NULL,CUI,NULL,R91966322,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RB,C0011847,NULL,CUI,NULL,R91966324,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0597655,NULL,CUI,NULL,R91966330,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0598284,NULL,CUI,NULL,R91966332,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0595931,NULL,CUI,NULL,R91966334,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0011859,NULL,CUI,NULL,R91966336,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0011884,NULL,CUI,NULL,R91966340,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0011881,NULL,CUI,NULL,R91966342,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0409729,NULL,CUI,NULL,R91966346,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0342276,NULL,CUI,NULL,R91966348,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0011871,NULL,CUI,NULL,R91966354,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0687720,NULL,CUI,NULL,R91966360,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RO,C0678154,NULL,CUI,NULL,R91966362,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0342302,NULL,CUI,NULL,R91966364,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C1857958,NULL,CUI,NULL,R91966368,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011849,NULL,CUI,RN,C0865162,NULL,CUI,NULL,R91966370,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011860,NULL,CUI,RB,C1263961,NULL,CUI,NULL,R02687453,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011860,NULL,CUI,RB,C0011847,NULL,CUI,NULL,R02687454,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011860,NULL,CUI,RN,C0342277,NULL,CUI,NULL,R02899622,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011860,NULL,CUI,RN,C0375113,NULL,CUI,NULL,R02899623,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011860,NULL,CUI,RN,C0271635,NULL,CUI,NULL,R02899628,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011860,NULL,CUI,RO,C0028715,NULL,CUI,NULL,R03116286,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011860,NULL,CUI,RO,C0241861,NULL,CUI,NULL,R03116288,NULL,MTH,MTH,NULL,NULL,N,NULL
