CUI1,CUI2
C0392707,C0018621
C0392707,C0700624
C0392707,C0002092
C0392707,C0011615
C0392707,C1706410
C0856716,C0004096
C0236072,C0004096
C0236072,C0035204
C0155883,C0004096
C0155883,C0865800
C0155883,C0034067
C0155879,C0004096
C0155879,C0038218
C0155880,C0004096
C0155880,C0264413
C0155880,C0259745
C0155880,C0004096
C0155880,C0024117
C0155880,C0155877
C0155880,C1827548
C0155882,C0004096
C0155882,C0038218
C0155878,C0004096
C0155878,C0155886
C0155878,C0004096
C0155878,C0155877
C0155878,C1827849
C0155881,C0004096
C0155881,C0155886
C0155881,C0004096
C0155881,C1827548
C0155886,C0004096
C0155886,C0155878
C0155886,C0155881
C0155886,C2984299
C0155886,C3714497
C0155886,C0035204
C0155886,C1869116
C0549336,C0004096
C0549336,C0349790
C0549336,C0035242
C0347950,C0004096
C0347950,C0038218
C0347950,C0349790
C0006266,C0006261
C0006266,C0024117
C0006266,C0015263
C0006266,C0231874
C0006266,C0004096
C0006266,C0043144
C0006266,C0231875
C0006266,C0038218
C0006266,C0035204
C0006277,C0006261
C0006277,C0021368
C0006277,C0679406
C0006277,C1319018
C0006277,C0023077
C0006277,C0008677
C0006277,C0029544
C0006277,C0155875
C0006277,C0004096
C0006277,C0040584
C0006277,C0549313
C0006277,C0155872
C0006277,C2939171
C0006277,C0149514
C0006277,C4041147
C0006277,C0155874
C0006277,C0340238
C0006277,C0238990
C0006277,C0035204
C0006277,C0865792
C0006277,C0850741
C0006277,C0149725
C0033931,C0149779
C0033931,C0027821
C0033931,C0149765
C0033931,C0679493
C0033931,C0679494
C0033931,C0236795
C0033931,C0221489
C0033931,C0020703
C0033931,C0152174
C0033931,C0154456
C0033931,C0029824
C0033931,C0233750
C0033931,C0003125
C0033931,C0004096
C0033931,C0007370
C0033931,C0011142
C0033931,C0020701
C0033931,C0024630
C0033931,C0026773
C0033931,C0027822
C0033931,C0028754
C0033931,C0030920
C0033931,C0033046
C0033931,C0037051
C0033931,C0037274
C0033931,C0080276
C0033931,C0033966
C0033931,C0004937
C0033931,C0037650
C0033931,C1457887
C0033931,C0221796
C0033931,C0178875
C0033931,C0018681
C0033931,C0019681
C0033931,C0235156
C0033931,C0015478
C0033931,C0086441
C0033931,C0027932
C0033931,C0149931
C0033931,C0154548
C0033931,C0005887
C0033931,C0154637
C0033931,C0017650
C0033931,C0496703
C0033931,C0013404
C0033931,C0553668
C0033931,C0553729
C0033931,C0232461
C0033931,C0233423
C0033931,C0233756
C0033931,C0022104
C0033931,C0220854
C0033931,C0597114
C0033931,C0597314
C0033931,C0599909
C0033931,C0020701
C0033931,C0017178
C0033931,C0033975
C0033931,C0020505
C0033931,C0376356
C0033931,C0553642
C0033931,C0020578
C0033931,C0020604
C0033931,C0520482
C0033931,C0009946
C0033931,C0031212
C0033931,C0014130
C0033931,C0041672
C0033931,C0033953
C0033931,C0015480
C0033931,C0004936
C0033931,C0349785
C0033931,C0026785
C0085129,C0004096
C0282556,C0361272
C0282556,C0004096
C0282556,C0161637
C0282556,C0085173
C0282556,C0350348
C0694548,C0004096
C0375321,C0004096
C0235906,C0004096
C0235906,C0035204
C0043144,C0231856
C0043144,C0029601
C0043144,C0004096
C0043144,C0006266
C0043144,C0037315
C0043144,C0035234
C0043144,C0035242
C0043144,C0035508
C0043144,C0035204
C0043144,C0425449
C0043144,C2203181
C0231875,C0004096
C0231875,C0006266
C0231875,C0035204
